club_id,club,player_name,nationality,position,age,born,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,p90_gls,p90_ast,p90_g+a,p90_g-pk,p90_g+a-pk,p90_xg,p90_xag,p90_xg+xag,p90_npxg,p90_npxg+xag,matches
5,Coventry City,Victor Torp,Denmark,MF,25.0,1999.0,36,25,2107,23.4,6,4,10,5,1,2,2,0,5.0,3.4,4.8,8.3,21,103,86,0.26,0.17,0.43,0.21,0.38,0.21,0.21,0.42,0.15,0.35,https://fbref.com/en/players/e8cc2cbb/matchlogs/2024-2025/summary/Victor-Torp-Match-Logs
1,Blackburn Rovers,Balázs Tóth,Hungary,GK,26.0,1997.0,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e6eb693d/matchlogs/2024-2025/summary/Balazs-Toth-Match-Logs
15,Portsmouth,Ryley Towler,England,DF,23.0,2001.0,12,10,936,10.4,1,0,1,1,0,0,3,0,0.1,0.1,0.0,0.1,3,30,1,0.1,0.0,0.1,0.1,0.1,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/108f0a72/matchlogs/2024-2025/summary/Ryley-Towler-Match-Logs
9,Luton Town,Andros Townsend,England,MF,33.0,1991.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b28bbd58/matchlogs/2024-2025/summary/Andros-Townsend-Match-Logs
3,Burnley,James Trafford,England,GK,21.0,2002.0,45,45,4050,45.0,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/259fea27/matchlogs/2024-2025/summary/James-Trafford-Match-Logs
10,Middlesbrough,Mark Travers,Republic of Ireland,GK,25.0,1999.0,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/fe558029/matchlogs/2024-2025/summary/Mark-Travers-Match-Logs
1,Blackburn Rovers,Lewis Travis,England,MF,26.0,1997.0,38,37,3216,35.7,2,1,3,2,0,0,11,0,0.8,0.8,1.9,2.7,37,172,38,0.06,0.03,0.08,0.06,0.08,0.02,0.05,0.08,0.02,0.08,https://fbref.com/en/players/33928d3a/matchlogs/2024-2025/summary/Lewis-Travis-Match-Logs
21,Sunderland,Nectarios Triantis,Australia,FW,21.0,2003.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/73d58203/matchlogs/2024-2025/summary/Nectarios-Triantis-Match-Logs
1,Blackburn Rovers,Sondre Tronstad,Norway,MF,28.0,1995.0,38,36,3130,34.8,2,0,2,2,0,0,5,0,0.8,0.8,1.6,2.4,21,165,18,0.06,0.0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/50e41224/matchlogs/2024-2025/summary/Sondre-Tronstad-Match-Logs
18,Sheffield United,Auston Trusty,United States,DF,25.0,1998.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cddf767b/matchlogs/2024-2025/summary/Auston-Trusty-Match-Logs
4,Cardiff City,David Turnbull,Scotland,MF,25.0,1999.0,19,10,826,9.2,1,0,1,1,0,1,2,0,1.4,0.4,0.8,1.3,7,69,16,0.11,0.0,0.11,0.11,0.11,0.15,0.09,0.24,0.05,0.14,https://fbref.com/en/players/aa34ed38/matchlogs/2024-2025/summary/David-Turnbull-Match-Logs
